OBJECTID_1,OBJECTID,votdst,NAME,SUM_VOTERS,Shape_Length,Shape_Area
1,1,3562,ADAIR,504,14129.2110158668,8913972.35096721
2,2,2381,ALDARRA,762,64188.3084500826,142659478.56659
3,3,3400,ALDER SPRINGS,550,35361.6521097781,66917430.2969558
4,4,0010,ALDERWOOD,884,38220.474235412,41765250.8658019
5,5,0013,ALG 30-0013,478,15788.9285661534,10618217.4131397
6,6,0014,ALG 30-0014,518,20153.3185200241,14785893.2178858
7,7,3141,ALG 30-3141,528,17031.9728452837,10759738.3385685
8,8,2383,ALPINE,604,39865.3170137426,73778575.28608
9,9,2652,AMES LAKE,882,30364.0038934202,36202494.5097812
10,10,0022,ANGEL CITY,792,13521.341632483,6057654.66967901
11,11,2384,ANGELO,476,22922.840732232,15784464.9204982
12,12,3763,ANNIE,209,11057.1499503288,3041877.96884152
13,13,3769,AQUA,475,7959.18357779592,3409666.25500999
14,14,3459,ARIA,421,13213.7350935026,4218623.70860616
15,15,0037,ARTHUR,654,48692.0720405636,100966674.487721
16,16,3641,ASPEN GLEN,370,19533.9627075814,17522234.5825606
17,17,0046,AUB 30-0046,346,7952.09060745518,3510634.507465
18,18,0053,AUB 30-0053,468,6349.28064994515,2446049.86906026
19,19,0067,AUB 30-0067,538,54946.8677320813,63771253.6564704
20,20,2702,AUB 30-2702,485,11054.7590343677,5039524.7037616
21,21,2703,AUB 30-2703,447,15544.6434464382,6435920.92672606
22,22,3476,AUB 30-3476,322,10912.5564585282,4657231.28718116
23,23,0042,AUB 31-0042,550,19092.5266241822,23084552.3403621
24,24,0047,AUB 31-0047,603,13156.7687142984,4764378.95794977
25,25,0048,AUB 31-0048,241,13678.2626607501,3997714.54503713
26,26,0049,AUB 31-0049,549,11313.5311200219,4248326.908645
27,27,0050,AUB 31-0050,430,9629.59112642528,4674287.79759978
28,28,0051,AUB 31-0051,537,16488.2729199056,11714804.7403782
29,29,0054,AUB 31-0054,521,7443.12906885774,3195910.56709133
30,30,0058,AUB 31-0058,287,7459.74134857812,2595753.38998864
31,31,0062,AUB 31-0062,665,13357.0508518539,8607088.49659415
32,32,0063,AUB 31-0063,314,7887.38234063214,2925562.23591646
33,33,0064,AUB 31-0064,411,19188.2722257751,22230023.0707717
34,34,0065,AUB 31-0065,312,8816.88968897567,3763960.74320908
35,35,0069,AUB 31-0069,316,11691.8348329972,5936707.42797438
36,36,0070,AUB 31-0070,733,10619.606024283,5711891.87156756
37,37,0078,AUB 31-0078,385,8978.7251189332,4381444.02909325
38,38,0080,AUB 31-0080,596,27469.3545420882,23297939.1290838
39,39,0081,AUB 31-0081,464,13788.3379950441,6293691.96807612
40,40,0082,AUB 31-0082,425,13399.3968680392,5851257.33349213
41,41,0083,AUB 31-0083,505,11848.0413018955,6127632.1348868
42,42,3299,AUB 31-3299,241,41970.0917656082,98712493.6423946
43,43,3335,AUB 31-3335,785,15651.4605186821,9535297.61730095
44,44,3405,AUB 31-3405,672,8309.19379103798,3981789.74279614
45,45,3800,AUB 31-3800,621,14066.4729814847,4930257.85058277
46,46,0041,AUB 47-0041,444,12375.4936584558,5164736.5922018
47,47,0045,AUB 47-0045,729,58876.1074145984,56363746.6062741
48,48,0055,AUB 47-0055,450,9801.62814589434,3766314.27501639
49,49,0059,AUB 47-0059,707,43664.7470253946,46996265.2057344
50,50,0072,AUB 47-0072,539,10607.4508340163,4760158.23458044
51,51,0073,AUB 47-0073,746,27572.6527398042,18766313.4313672
52,52,0074,AUB 47-0074,582,13297.409097998,4533067.5659207
53,53,0328,AUB 47-0328,709,16845.5916940363,12808030.3143321
54,54,0671,AUB 47-0671,591,10551.0820562369,6957000.24653249
55,55,1066,AUB 47-1066,347,13120.7827173256,6559525.50968448
56,56,2478,AUB 47-2478,494,8564.27377595789,2464596.78059624
57,57,2551,AUB 47-2551,830,18004.433448814,14141687.2897747
58,58,2573,AUB 47-2573,812,19472.7340674071,10803043.9546263
59,59,2700,AUB 47-2700,238,7219.89880924947,2011184.28512078
60,60,2701,AUB 47-2701,556,39249.4940075215,46058471.5836475
61,61,2723,AUB 47-2723,561,16806.4740073236,9967868.21596893
62,62,2729,AUB 47-2729,430,10908.6229016945,5922457.08166363
63,63,2839,AUB 47-2839,692,20906.6437569468,15990400.2607278
64,64,3187,AUB 47-3187,505,25196.9407289947,23568860.3721637
65,65,3260,AUB 47-3260,680,17594.1994406181,12585342.1147835
66,66,3276,AUB 47-3276,589,9743.19469096906,6330127.63794096
67,67,3324,AUB 47-3324,558,15660.9921773039,7367664.78702435
68,68,3413,AUB 47-3413,777,13178.5242577411,6932866.64990508
69,69,3455,AUB 47-3455,451,21127.7020503068,10453000.5453754
70,70,3456,AUB 47-3456,858,10517.0125966365,5826873.72680166
71,71,3518,AUB 47-3518,878,20365.815352328,20363201.2414018
72,72,3538,AUB 47-3538,758,20659.1484233771,15000124.5261898
73,73,3539,AUB 47-3539,427,7188.34002073646,2965627.29647915
74,74,3585,AUB 47-3585,420,16237.2431480399,12681760.2229697
75,75,3591,AUB 47-3591,443,11080.9984971048,6966076.33677687
76,76,3635,AUB 47-3635,751,10219.5351051488,6843733.37100807
77,77,3718,AUB 47-3718,254,16405.0909746608,9893283.99518656
78,78,3765,AUB 47-3765,371,7899.40023912131,3464940.65431303
79,79,3790,AUB 47-3790,433,12187.1990689826,6924410.94712581
80,80,0089,AVALON,405,10962.021448552,3035735.08302557
81,81,0091,AVONDALE,565,44802.3294367865,49333134.2291092
82,82,0239,B-D 05-0239,590,33040.7846351113,47637700.3843113
83,83,0240,B-D 05-0240,456,27322.9012191294,32847083.3948828
84,84,2407,B-D 05-2407,548,20443.9914600028,18638356.3357516
85,85,2413,B-D 05-2413,779,26437.3128067115,17296859.6925803
86,86,3310,B-D 05-3310,511,43015.5417881085,81592697.209744
87,87,3463,B-D 05-3463,0,6629.50581482197,2412697.72453409
88,88,3334,BACUS,740,83331.5270714576,306386994.225907
89,89,0093,BAKER,644,26467.7920848001,39202559.456091
90,90,0099,BEA 41-0099,250,6720.7851865221,2274707.20960467
91,91,0098,BEAR CREEK,489,33091.037071588,38589049.5725898
92,92,0011,BEL 41-0011,329,4375.83638175636,1194239.83574472
93,93,0017,BEL 41-0017,604,14234.2974368155,5737735.40851299
94,94,0101,BEL 41-0101,495,14170.8974045453,5544345.71469462
95,95,0102,BEL 41-0102,467,10423.1379440584,4205840.23748274
96,96,0103,BEL 41-0103,482,7405.61023605579,3694043.32225367
97,97,0106,BEL 41-0106,461,8740.71412081894,4938372.34592713
98,98,0108,BEL 41-0108,425,9461.93888234397,4237130.23832292
99,99,0109,BEL 41-0109,321,10826.6858081141,3628770.06662776
100,100,0110,BEL 41-0110,557,9825.49104220597,3768083.50360547
101,101,0111,BEL 41-0111,542,14865.4689661648,6041205.5558248
102,102,0112,BEL 41-0112,717,19575.5357215427,13463478.2786865
103,103,0113,BEL 41-0113,277,7299.23500887151,2399459.74473666
104,104,0114,BEL 41-0114,456,12962.9900464568,5941568.47231413
105,105,0116,BEL 41-0116,287,28198.9297259758,28370298.7665345
106,106,0117,BEL 41-0117,229,6720.82861823092,2288912.89239393
107,107,0119,BEL 41-0119,315,13268.7265677508,3441209.62254116
108,108,0120,BEL 41-0120,245,10594.3809325267,4867577.13393938
109,109,0121,BEL 41-0121,640,13203.1016385473,5570988.24344552
110,110,0122,BEL 41-0122,434,12579.9433427712,4678012.16341936
111,111,0123,BEL 41-0123,774,17466.7808470889,10793909.7990177
112,112,0124,BEL 41-0124,509,14316.822756442,7010078.660641
113,113,0128,BEL 41-0128,519,26909.4345313781,20602109.0178826
114,114,0129,BEL 41-0129,310,7234.71096102133,2894170.20908416
115,115,0131,BEL 41-0131,446,7993.42251330991,3387132.83923038
116,116,0175,BEL 41-0175,837,12965.2348727326,7454128.1960144
117,117,0176,BEL 41-0176,574,22842.4843530127,20854057.7699447
118,118,0179,BEL 41-0179,331,9209.33980550958,4337937.61971292
119,119,0180,BEL 41-0180,339,7138.38130804329,2522883.38723421
120,120,0203,BEL 41-0203,689,12845.7636415397,4845135.06427584
121,121,0205,BEL 41-0205,303,6727.50043055171,1890280.45585677
122,122,0206,BEL 41-0206,551,7931.67766657067,3484198.95476185
123,123,0210,BEL 41-0210,353,9939.89313544065,3948517.82373552
124,124,0211,BEL 41-0211,349,9800.98423631786,5674261.81039858
125,125,0219,BEL 41-0219,648,16641.3161870728,16185118.4777556
126,126,0220,BEL 41-0220,421,7946.35575741956,3511353.28713527
127,127,0305,BEL 41-0305,473,8051.05299231956,3594846.29804191
128,128,0333,BEL 41-0333,367,7520.55468718612,3042944.93458937
129,129,0408,BEL 41-0408,240,6541.80641939495,1907675.2655967
130,130,0460,BEL 41-0460,469,11624.0272393467,5443736.10894881
131,131,0472,BEL 41-0472,535,13365.9917466449,6961631.12030875
132,132,0475,BEL 41-0475,271,5514.15423009778,1785157.58904473
133,133,0505,BEL 41-0505,279,5316.746707833,1752401.75540139
134,134,0518,BEL 41-0518,273,12415.8437401084,5606539.19884439
135,135,0658,BEL 41-0658,388,11724.3845116163,7631889.92708229
136,136,0733,BEL 41-0733,721,14215.3883027125,8516616.40715699
137,137,0815,BEL 41-0815,412,14576.6992708635,9324853.82204624
138,138,1026,BEL 41-1026,652,19644.2179990463,10748853.9278911
139,139,1052,BEL 41-1052,521,16305.5934487398,6951868.43897474
140,140,1235,BEL 41-1235,321,7953.03592971844,3435779.1687801
141,141,2386,BEL 41-2386,276,6497.28138992383,2267687.3080615
142,142,2428,BEL 41-2428,682,7275.29415436942,2764938.97116278
143,143,2429,BEL 41-2429,814,17914.7731557844,9209373.5871413
144,144,2447,BEL 41-2447,471,8421.53974764326,4467949.42472176
145,145,2484,BEL 41-2484,398,16958.6861954961,7453992.49601748
146,146,2554,BEL 41-2554,649,14570.5903702732,7080214.24577571
147,147,2556,BEL 41-2556,645,25146.8608675712,10018069.3373376
148,148,2621,BEL 41-2621,585,16510.2692083361,8245683.08007546
149,149,2714,BEL 41-2714,564,17184.7345484899,9178500.15596301
150,150,2719,BEL 41-2719,515,13818.7348925887,5677933.46989209
151,151,2782,BEL 41-2782,213,7920.9230619602,2617811.38514732
152,152,2812,BEL 41-2812,348,7701.71572467121,2506238.96254692
153,153,2906,BEL 41-2906,494,13043.494868596,9870494.58896469
154,154,2935,BEL 41-2935,406,17616.1599460247,10345587.1003357
155,155,2936,BEL 41-2936,450,13688.3558511361,5869478.85021746
156,156,2943,BEL 41-2943,809,10446.1191373896,6106438.40983573
157,157,2945,BEL 41-2945,508,14594.6111772594,4902805.75029365
158,158,2970,BEL 41-2970,657,11905.3516852186,6953770.65642955
159,159,3140,BEL 41-3140,276,7992.89061771912,3541460.69038814
160,160,3225,BEL 41-3225,550,13294.842904788,5517659.73297159
161,161,3226,BEL 41-3226,515,11103.3338738927,5190771.27645177
162,162,3278,BEL 41-3278,266,7913.35543638067,2414397.09316061
163,163,3291,BEL 41-3291,282,8896.52559865462,2576188.47415046
164,164,3312,BEL 41-3312,774,16355.2092092559,11963981.1225384
165,165,3330,BEL 41-3330,310,8744.3000063137,2709782.86142549
166,166,3370,BEL 41-3370,820,16254.9542635342,12799586.3633115
167,167,3371,BEL 41-3371,656,14888.9196324817,7793473.52107107
168,168,3583,BEL 41-3583,727,28562.5241238364,16505947.6574401
169,169,3593,BEL 41-3593,589,6432.88607900892,2510318.18896893
170,170,3608,BEL 41-3608,820,5257.24308887259,1726953.49011942
171,171,3621,BEL 41-3621,498,10414.1937955473,3927208.0819128
172,172,3657,BEL 41-3657,378,10342.0195259412,3776045.00744061
173,173,3658,BEL 41-3658,360,6508.66216957273,2499684.46504118
174,174,3671,BEL 41-3671,331,10418.8849932511,3475127.60868857
175,175,3680,BEL 41-3680,403,8609.91530709594,2797778.23720299
176,176,3684,BEL 41-3684,240,13065.827689103,6686027.99750334
177,177,3695,BEL 41-3695,514,5328.61763135219,1773723.80740423
178,178,3759,BEL 41-3759,484,4961.66577680597,980419.083291722
179,179,0125,BEL 48-0125,398,9439.96457839578,4395901.90462285
180,180,0126,BEL 48-0126,364,10080.5159698969,2614847.67495375
181,181,0127,BEL 48-0127,379,8178.4384552638,3417739.37528569
182,182,0132,BEL 48-0132,270,8537.05324310431,3741471.63599712
183,183,0133,BEL 48-0133,314,7734.10080692808,3177692.82586172
184,184,0134,BEL 48-0134,350,9389.68386368242,3923933.472352
185,185,0135,BEL 48-0135,317,9908.66493426202,4206936.01768463
186,186,0136,BEL 48-0136,299,6485.3063547879,1753209.9198766
187,187,0138,BEL 48-0138,387,8763.67576092147,4663317.87256537
188,188,0140,BEL 48-0140,397,7975.89181915982,3529894.52585957
189,189,0142,BEL 48-0142,302,10262.9466435671,4008666.28944078
190,190,0143,BEL 48-0143,297,7863.29025584422,3476791.84433742
191,191,0144,BEL 48-0144,311,9182.02362643502,2100546.74377637
192,192,0145,BEL 48-0145,288,8346.44892793408,2387538.40359173
193,193,0146,BEL 48-0146,323,6259.64254051405,2006767.89673304
194,194,0147,BEL 48-0147,435,8153.47748772534,2962859.22853722
195,195,0149,BEL 48-0149,432,9806.79457438963,5597952.0160839
196,196,0151,BEL 48-0151,404,14350.9686884659,8825850.43964463
197,197,0153,BEL 48-0153,348,6686.68396715085,2227642.91670325
198,198,0154,BEL 48-0154,258,7332.89471971506,3107353.27936642
199,199,0156,BEL 48-0156,670,9736.71383886752,4419034.33921938
200,200,0159,BEL 48-0159,523,8991.39378871459,3890433.69853889
201,201,0160,BEL 48-0160,281,6944.63908582225,2386488.99076705
202,202,0162,BEL 48-0162,242,6100.96109481767,1692342.03532923
203,203,0163,BEL 48-0163,367,7870.69266178161,3426318.9168906
204,204,0164,BEL 48-0164,293,8815.56894406028,2706540.81353253
205,205,0165,BEL 48-0165,384,9425.06306222346,4729913.30830427
206,206,0166,BEL 48-0166,375,12551.5087566728,4273632.74354607
207,207,0167,BEL 48-0167,273,12218.9894691467,3670070.74275863
208,208,0168,BEL 48-0168,225,6063.39227918266,1785759.07616688
209,209,0169,BEL 48-0169,364,9210.11529055369,3078252.29718894
210,210,0170,BEL 48-0170,227,6773.82277550701,1623344.9311877
211,211,0171,BEL 48-0171,412,8327.36879383332,2735865.18289525
212,212,0177,BEL 48-0177,366,10176.2639977725,4638339.01414241
213,213,0178,BEL 48-0178,441,7551.75583611429,3206225.4334377
214,214,0186,BEL 48-0186,270,9137.19736636121,4286062.83123092
215,215,0188,BEL 48-0188,470,9300.99188656509,4784661.38660339
216,216,0189,BEL 48-0189,516,16111.0206457572,9826549.2984618
217,217,0190,BEL 48-0190,430,11192.2090696832,5248296.03297697
218,218,0191,BEL 48-0191,298,10643.7108311918,2833808.10354678
219,219,0192,BEL 48-0192,336,10828.2877311657,6735394.11097702
220,220,0193,BEL 48-0193,407,5299.61867989185,1755226.7209713
221,221,0194,BEL 48-0194,252,6254.23853482219,2319838.52986346
222,222,0196,BEL 48-0196,327,8652.08615114682,3917867.51001975
223,223,0198,BEL 48-0198,349,4014.61273190193,898632.29973538
224,224,0201,BEL 48-0201,508,11316.2257731207,5167995.42954906
225,225,0207,BEL 48-0207,321,17132.9713450671,5957975.61754705
226,226,0212,BEL 48-0212,427,9898.09849456539,3933939.9494747
227,227,0213,BEL 48-0213,433,8434.50308764871,3679589.33936172
228,228,0214,BEL 48-0214,278,12916.7808890776,5624749.72592109
229,229,0216,BEL 48-0216,598,8837.03869473991,3841206.7593743
230,230,0217,BEL 48-0217,461,8236.47998002759,3209598.20751379
231,231,0218,BEL 48-0218,544,11406.3176848146,7889121.20643762
232,232,0221,BEL 48-0221,654,20022.0198617757,10944564.0481384
233,233,0223,BEL 48-0223,406,11245.9364995831,6107240.31564838
234,234,0224,BEL 48-0224,650,10967.3429896868,6212971.1978692
235,235,0225,BEL 48-0225,503,34270.3655560681,31126040.6164387
236,236,0226,BEL 48-0226,313,10592.9436325563,7013086.13205225
237,237,0227,BEL 48-0227,656,15773.0314552031,13470252.7978026
238,238,0694,BEL 48-0694,358,9398.07055646485,4250828.64740492
239,239,1023,BEL 48-1023,353,8250.29167781333,2563048.97155203
240,240,1049,BEL 48-1049,368,17306.4526625612,4247894.44029384
241,241,2412,BEL 48-2412,295,7999.78111996345,2764163.08950418
242,242,2430,BEL 48-2430,516,8754.18324364879,3388672.31593818
243,243,2432,BEL 48-2432,375,7881.53274798757,3435494.07661291
244,244,2434,BEL 48-2434,429,12712.980279778,8313688.9484649
245,245,2559,BEL 48-2559,429,15376.1871038665,7794159.06424142
246,246,2715,BEL 48-2715,463,15972.9874039013,14216313.9154966
247,247,2716,BEL 48-2716,607,7879.60855170024,3439281.51304664
248,248,2772,BEL 48-2772,333,11843.4994713151,6031918.11968019
249,249,2773,BEL 48-2773,289,8563.53608162201,2293818.648214
250,250,2774,BEL 48-2774,377,31046.7510188196,26663427.2481079
251,251,2775,BEL 48-2775,532,9491.77532944496,4044353.48276488
252,252,2776,BEL 48-2776,470,10610.2875348058,7034140.10751758
253,253,2777,BEL 48-2777,261,4002.87252715579,917990.922798862
254,254,2778,BEL 48-2778,224,11750.3630364841,2889134.28111314
255,255,3143,BEL 48-3143,344,5593.48253193939,1949734.84926312
256,256,3144,BEL 48-3144,483,20215.9756357068,15121636.3774144
257,257,3166,BEL 48-3166,698,5139.13941339622,1332941.9537674
258,258,3292,BEL 48-3292,393,7496.64992793148,3080736.87805323
259,259,3498,BEL 48-3498,401,13185.425357925,5584785.67001469
260,260,3674,BEL 48-3674,461,5452.13286779384,1247299.70340508
261,261,3675,BEL 48-3675,316,5300.46228081957,1756036.02088074
262,262,3761,BEL 48-3761,551,3971.16947030885,883814.350134019
263,263,0231,BERNICE,712,8921.29539606655,3670592.0556143
264,264,3304,BERRYDALE,542,26392.7709552279,29284835.0915223
265,265,0233,BETTY,810,12249.4461381218,5827249.10447382
266,266,2653,BIG BEND,454,62707.0650124797,79051317.1253927
267,267,3707,BIG LEAF,425,15239.7227618763,2573830.17709573
268,268,0236,BILOXI,429,20443.2339378001,19094190.7100676
269,269,3576,BINGAMAN,602,12799.9402919904,9970332.67093687
270,270,3294,BITTERROOT,526,73172.0400862577,52843179.8657914
271,271,3489,BLACK RIVER,532,15011.2799807171,6873872.17039507
272,272,0252,BOT 01-0252,499,10536.9864871235,5213198.69885607
273,273,0253,BOT 01-0253,432,7649.42545352906,3145451.49969453
274,274,0254,BOT 01-0254,592,13660.2664313759,7580281.06203348
275,275,0255,BOT 01-0255,524,9332.69206209735,4202009.64580556
276,276,0256,BOT 01-0256,671,13850.6383130792,8566241.22824115
277,277,0257,BOT 01-0257,681,10774.8856760194,7050263.49991594
278,278,0258,BOT 01-0258,437,8733.26478673894,3724025.58528022
279,279,0259,BOT 01-0259,475,16745.8410393203,12696402.2434584
280,280,0260,BOT 01-0260,787,18829.5177472641,12719473.9188171
281,281,0261,BOT 01-0261,780,12717.5132448155,10203293.4024193
282,282,0262,BOT 01-0262,809,14008.0316683087,9025110.55836945
283,283,0868,BOT 01-0868,671,10523.342000844,3627310.48577524
284,284,1207,BOT 01-1207,536,8328.59268293674,4386710.58347053
285,285,1224,BOT 01-1224,739,9159.74482315089,5091984.10721738
286,286,2473,BOT 01-2473,580,18035.2996436411,14471921.5254404
287,287,2495,BOT 01-2495,634,12908.7660891048,5467159.0531345
288,288,2676,BOT 01-2676,387,18762.0204935097,15287237.1098895
289,289,2677,BOT 01-2677,354,12131.5151245956,6658879.98338954
290,290,2865,BOT 01-2865,377,16344.6011569405,7910873.99618371
291,291,3195,BOT 01-3195,585,9694.20274041599,3979829.77967938
292,292,3271,BOT 01-3271,431,17206.7609476792,7811053.3866033
293,293,3321,BOT 01-3321,447,9397.41474791078,5218975.79965733
294,294,3398,BOT 01-3398,717,15837.612392945,11272697.6569314
295,295,3420,BOT 01-3420,402,9199.39996906406,4832775.95081192
296,296,3661,BOT 01-3661,558,27475.8326146658,11428333.53613
297,297,3724,BOT 01-3724,407,7355.56216621629,3039194.94208022
298,298,3726,BOT 01-3726,465,12209.9750599083,3709090.12322474
299,299,3727,BOT 01-3727,434,9033.29418964348,2433879.04752551
300,300,3620,BOT 45-3620,167,4606.88354989331,1051273.43772814
301,301,2689,BRIAR,538,12001.9282722184,6647961.77569458
302,302,3525,BRIARWOOD,576,15509.9702192544,8375414.81505806
303,303,3355,BRIDLE TRAILS,0,23795.8643613441,20780653.1254484
304,304,2802,BRIGID,326,17019.7153618628,4402681.67913923
305,305,2832,BRINN,527,59661.2044601823,139153668.813548
306,306,2720,BRITTANY,759,14923.1190784908,10380134.246176
307,307,0271,BROKEN HILL,741,12063.7473598812,8859263.83258536
308,308,2456,BRONSON,794,26329.344264384,22580869.3658437
309,309,2654,BROOKSIDE,562,15966.2995678763,12460616.1287986
310,310,2783,BROOKTRAILS,587,22113.5150966234,12626260.5943797
311,311,2389,BRYAN,371,22687.2738119263,23134827.7801556
312,312,0273,BRYN MAWR,370,13787.4089406667,1343686.59899266
313,313,0009,BUR 33-0009,291,9356.85296449805,4298149.61616954
314,314,0094,BUR 33-0094,491,13640.3874572214,9626136.58911924
315,315,0251,BUR 33-0251,436,10801.0154506273,4848641.74695179
316,316,0289,BUR 33-0289,473,9862.31867083817,4719022.74296601
317,317,0476,BUR 33-0476,463,5782.99411194122,1962749.31369256
318,318,0562,BUR 33-0562,430,11052.06645563,6835950.68173273
319,319,0701,BUR 33-0701,739,11174.8845667249,7111283.49740002
320,320,0705,BUR 33-0705,784,18210.5101474605,11743411.9409449
321,321,0729,BUR 33-0729,577,11905.864055359,6374264.98377596
322,322,0805,BUR 33-0805,732,12254.4066266557,5576812.38370507
323,323,0818,BUR 33-0818,809,14236.6535968826,8304700.19822925
324,324,0957,BUR 33-0957,333,9341.45753765625,4395305.32983855
325,325,1067,BUR 33-1067,462,12441.65294662,5775517.38322559
326,326,1189,BUR 33-1189,673,12838.1710352195,9082081.84676359
327,327,3716,BUR 33-3716,477,9105.12415940987,3559284.8330187
328,328,3771,BUR 33-3771,360,7233.93671444045,2924636.665776
329,329,3801,BUR 33-3801,405,11188.390627312,5324657.32873252
330,330,0025,BUR 34-0025,504,8977.24227573703,3321159.78109055
331,331,0033,BUR 34-0033,728,12034.9564627727,8386854.83749511
332,332,0281,BUR 34-0281,0,4465.14527082398,1139678.85769691
333,333,0295,BUR 34-0295,523,9366.13313807715,3518958.00099517
334,334,0298,BUR 34-0298,703,14434.4167701683,8180039.87273174
335,335,0311,BUR 34-0311,747,9265.80652328204,5322700.66441551
336,336,0344,BUR 34-0344,422,13269.4266161621,5258915.83824694
337,337,0377,BUR 34-0377,646,10432.1000803481,6042452.26512
338,338,0381,BUR 34-0381,534,10716.8237618824,5216331.92497877
339,339,0402,BUR 34-0402,414,7922.19086045682,3447917.76494528
340,340,0465,BUR 34-0465,257,5223.91208391202,1705240.48332136
341,341,0485,BUR 34-0485,631,11882.4231600817,5012711.09546986
342,342,0489,BUR 34-0489,457,11197.3829849471,5973014.03408424
343,343,0560,BUR 34-0560,573,10563.5124836953,5236780.42975109
344,344,0699,BUR 34-0699,411,10427.4642238212,5278595.52574082
345,345,0710,BUR 34-0710,406,13146.9253575432,7494687.11967071
346,346,0824,BUR 34-0824,619,13218.5538292381,5223000.26125942
347,347,0848,BUR 34-0848,428,12091.6357460899,5111616.06884812
348,348,0900,BUR 34-0900,416,7895.18836313534,3468845.51849192
349,349,0913,BUR 34-0913,732,10635.5042511195,5290389.0137705
350,350,1032,BUR 34-1032,573,10285.8737869107,4771314.99012804
351,351,1047,BUR 34-1047,823,13248.2512039574,7052190.00599288
352,352,1057,BUR 34-1057,692,15411.3288784853,8930557.04730775
353,353,1058,BUR 34-1058,510,17497.4258057556,11944030.5303143
354,354,1059,BUR 34-1059,707,16789.7199893791,10606821.4858301
355,355,1064,BUR 34-1064,597,10154.1071973919,4976138.74193459
356,356,1082,BUR 34-1082,318,10948.734052148,4267937.63386415
357,357,1104,BUR 34-1104,360,6756.78290315619,2707177.19136873
358,358,1116,BUR 34-1116,413,8392.22644513919,4099567.51418737
359,359,1136,BUR 34-1136,213,5853.3069744852,1890169.70722624
360,360,1150,BUR 34-1150,368,10183.0183584633,2582183.9170965
361,361,1192,BUR 34-1192,613,15490.5657735881,6391694.83129383
362,362,1219,BUR 34-1219,566,11463.7533472952,4591699.54404524
363,363,3752,BUR 34-3752,479,10465.2899622911,3109041.52347854
364,364,3792,BUR 34-3792,335,5345.89876624096,1764914.80431569
365,365,0278,BURTON,269,15060.106457058,12252501.2594358
366,366,0321,C-H 48-0321,324,9681.0277782837,4539530.05303884
367,367,0322,C-H 48-0322,230,9074.60313836882,3076845.94009234
368,368,0323,C-H 48-0323,421,10374.9973243628,5797990.86422642
369,369,0324,C-H 48-0324,413,11168.996228585,5741665.07315488
370,370,0325,C-H 48-0325,469,11938.6461950254,7038545.44039843
371,371,0326,C-H 48-0326,260,7714.39061360083,3272584.61187498
372,372,2721,CADDIS,388,13462.3354950204,10224198.4537211
373,373,0280,CALHOUN,589,62488.8843339627,61819438.9856881
374,374,0282,CAMELOT,523,7855.97812207843,3528695.49889723
375,375,0283,CAMPBELL HILL,744,12919.6407675927,6741249.77802602
376,376,3396,CANDLEWOOD,487,6768.01321652438,1820270.27974461
377,377,0290,CAR 05-0290,661,23936.9267863334,12562627.9792897
378,378,3290,CAR 05-3290,580,33833.7072166592,19619275.3965259
379,379,0292,CARPENTER,446,37080.9435536543,69056674.2804321
380,380,2705,CARRIAGE,390,8230.46087055331,2225457.41751246
381,381,0293,CARRIAGE LANE,620,9834.50229890234,5377706.10885397
382,382,3791,CASCARA,444,13282.3114781965,5214525.48687414
383,383,0300,CEDAR PARK,186,23040.424975752,14386883.1357698
384,384,0301,CEDAR RIVER,471,376608.022584503,3057077435.01378
385,385,0310,CHAUTAUQUA,423,23876.3829132386,31504084.5391137
386,386,0314,CHERRY VALLEY,570,81013.3248267721,230713231.338561
387,387,0315,CHINOOK,685,605679.609508395,9019590531.02522
388,388,2480,CHURCHILL,438,17793.28294937,13862135.9457752
389,389,2391,CLAY,432,27615.4827012669,34716910.1194733
390,390,0318,CLEVELAND,333,38102.5337165582,35057467.2646728
391,391,0320,CLOVER,568,15799.5641593763,9650478.51186753
392,392,0327,COALFIELD,734,43815.9871400666,72815893.8352317
393,393,2803,COLLEEN,521,19148.5438081238,13996481.7926611
394,394,0330,COLVOS,270,25127.0734040986,27731541.6736813
395,395,0331,CONNAUGHT,609,16531.833455462,8098711.98810984
396,396,3333,COOPER,501,84625.2080880596,228627978.32939
397,397,0336,CORNELL,573,12438.8543425257,3783934.51679403
398,398,2725,CORWIN,804,18611.0405844693,19787596.8623779
399,399,0338,COTTAGE LAKE,445,13011.4269844165,10242953.1502305
400,400,0339,COUGAR MTN,8,62962.8375881052,122652395.886439
401,401,3709,COV 05-3709,0,7936.29319082217,3473004.38878797
402,402,0279,COV 47-0279,672,13646.2246436788,8378053.34956928
403,403,0313,COV 47-0313,535,13559.7275060734,8384173.16506393
404,404,0566,COV 47-0566,774,15339.3299434287,8602627.36934086
405,405,1127,COV 47-1127,626,10673.8080191357,7089041.74796573
406,406,1145,COV 47-1145,757,9868.01905858804,4760925.59441751
407,407,1153,COV 47-1153,515,17618.4947992209,10007024.5146599
408,408,1203,COV 47-1203,726,16285.0965862658,10231120.996874
409,409,2390,COV 47-2390,548,10867.5714587412,3305982.85237294
410,410,2586,COV 47-2586,684,9274.11853151518,4103637.57669
411,411,2711,COV 47-2711,590,9310.07886674553,4331179.83170181
412,412,2843,COV 47-2843,546,10556.3844584977,6958351.05285375
413,413,2982,COV 47-2982,592,13142.3304141889,8378465.47761823
414,414,3244,COV 47-3244,497,17403.426604782,10322561.910221
415,415,3279,COV 47-3279,774,10490.9545497455,6878683.53038811
